TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Target
317.87,,1,11,2,27.0,3,91.0,1.0,145.5,2024-11-04 08:11:32,0
331.65,2023-08-25 17:26:07,1,32,2,41.0,1,61.0,1.0,4172.57,2024-11-04 08:11:00,0
5.04,2023-11-27 16:38:34,1,42,0,56.0,2,41.0,1.0,5558.36,2024-11-04 08:10:48,2
214.54,2023-08-04 17:46:44,0,11,2,70.0,0,247.0,1.0,11151.53,2024-11-04 08:11:56,1
598.81,2023-09-04 16:48:35,1,30,1,57.0,0,158.0,1.0,1415.52,2024-11-04 08:10:13,2
841.28,2023-08-09 17:34:26,1,40,2,26.0,3,80.0,1.0,1103.64,2024-11-04 08:09:58,0
38.15,2023-09-07 16:07:40,1,23,2,26.0,3,108.0,1.0,303.68,2024-11-04 08:07:42,0
1036.66,2023-07-11 16:39:53,1,35,1,58.0,0,144.0,1.0,5541.57,2024-11-04 08:09:24,2
124.72,2023-07-03 17:14:07,1,28,1,33.0,1,105.0,1.0,6309.8,2024-11-04 08:07:25,3
302.45,2023-09-25 17:13:36,0,35,1,78.0,2,40.0,1.0,5133.61,2024-11-04 08:11:55,2
208.04,2023-11-20 17:10:02,1,21,2,47.0,1,273.0,1.0,9344.98,2024-11-04 08:08:45,1
5.77,2023-11-17 17:27:07,0,20,1,23.0,3,254.0,1.0,1117.97,2024-11-04 08:10:53,0
381.33,2023-08-21 16:46:05,1,0,0,56.0,0,75.0,1.0,11835.35,2024-11-04 08:09:32,3
16.16,2023-10-16 16:59:36,1,25,0,50.0,0,124.0,1.0,14401.17,2024-11-04 08:11:59,3
486.08,2023-06-20 17:21:50,1,28,2,18.0,3,68.0,1.0,1748.69,2024-11-04 08:07:03,0
336.39,2023-01-16 16:53:38,1,35,1,21.0,3,18.0,1.0,1000.46,2024-11-04 08:09:57,0
997.43,2023-11-22 16:07:19,1,39,2,69.0,0,118.0,1.0,6810.05,2024-11-04 08:08:25,2
234.57,2023-09-01 16:09:08,1,6,2,23.0,3,120.0,1.0,263.98,2024-11-04 08:08:47,0
6.0,2023-10-23 18:38:15,1,6,2,30.0,0,246.0,1.0,5442.76,2024-11-04 08:09:43,1
1049.92,2023-10-23 16:50:33,1,11,0,80.0,2,21.0,1.0,2037.85,2024-11-04 08:10:34,2
227.14,2023-07-03 17:42:08,1,5,0,18.0,3,294.0,1.0,341.94,2024-11-04 08:11:34,0
233.74,2023-10-24 16:41:00,0,28,2,66.0,2,17.0,1.0,1066.59,2024-11-04 08:11:17,2
211.36,2023-09-25 16:54:22,0,17,1,69.0,2,166.0,1.0,6077.96,2024-11-04 08:07:21,2
45.85,2023-02-16 17:57:10,1,20,0,20.0,3,92.0,1.0,1659.15,2024-11-04 08:07:24,0
973.39,2023-08-30 17:23:20,1,34,1,77.0,2,296.0,1.0,2042.22,2024-11-04 08:11:44,1
211.36,2023-04-13 18:37:48,1,27,2,41.0,0,142.0,5.0,421.93,2024-11-04 08:10:01,0
415.5,2023-07-28 16:29:23,1,22,0,66.0,0,141.0,1.0,10113.66,2024-11-04 08:10:23,3
265.76,2023-02-06 17:48:55,1,30,2,54.0,2,92.0,1.0,4446.17,2024-11-04 08:12:18,2
69.4,2023-07-24 18:08:43,1,41,2,80.0,2,113.0,1.0,6452.77,2024-11-04 08:09:04,2
332.93,2023-11-20 16:29:48,0,0,1,35.0,1,293.0,1.0,2788.2,2024-11-04 08:08:14,1
267.9,2023-10-09 16:52:47,1,35,2,20.0,3,160.0,1.0,596.16,2024-11-04 08:08:34,0
496.03,2023-11-03 16:45:52,1,37,1,61.0,0,265.0,1.0,12904.66,2024-11-04 08:09:41,1
376.26,2023-02-15 16:41:11,1,40,0,37.0,1,245.0,1.0,9062.4,2024-11-04 08:09:58,1
83.02,2023-09-04 17:59:51,0,39,2,36.0,1,171.0,1.0,9009.56,2024-11-04 08:11:01,3
93.26,2023-07-27 16:22:52,0,27,2,20.0,3,72.0,1.0,1152.2,2024-11-04 08:12:04,0
803.37,2023-04-17 16:08:34,0,22,1,68.0,0,129.0,1.0,12168.37,2024-11-04 08:08:40,3
35.76,2023-09-19 17:38:18,1,5,1,23.0,3,122.0,1.0,611.86,2024-11-04 08:11:40,0
28.53,2023-05-31 16:37:39,1,42,2,62.0,0,99.0,1.0,8670.53,2024-11-04 08:06:30,2
139.53,2023-10-09 17:20:09,0,21,2,53.0,0,177.0,1.0,10098.86,2024-11-04 08:07:31,1
307.57,2023-01-09 16:12:01,1,11,1,33.0,0,285.0,1.0,5307.74,2024-11-04 08:06:33,1
60.65,2023-05-26 18:15:08,0,40,1,56.0,2,53.0,1.0,1047.28,2024-11-04 08:09:22,2
74.86,2023-08-14 17:43:17,1,26,1,70.0,0,125.0,1.0,6921.48,2024-11-04 08:07:39,2
211.36,2023-11-24 18:51:32,1,18,1,51.0,2,137.0,1.0,1475.46,2024-11-04 08:09:21,2
231.91,2023-01-31 18:31:22,1,22,0,34.0,1,165.0,1.0,112.76,2024-11-04 08:12:15,0
126.21,2023-02-14 16:07:01,1,3,1,75.0,2,268.0,1.0,5669.66,2024-11-04 08:08:42,1
506.28,2023-05-02 17:03:29,0,6,2,53.0,2,162.0,2.0,1309.95,2024-11-04 08:09:09,2
304.35,2023-12-04 17:07:34,1,15,1,31.0,1,36.0,1.0,4057.1,2024-11-04 08:08:45,0
281.85,2023-05-16 17:26:37,1,11,0,22.0,3,109.0,1.0,1585.98,2024-11-04 08:07:38,0
777.88,2023-03-20 16:58:12,1,15,1,31.0,1,17.0,1.0,6825.55,2024-11-04 08:09:15,3
119.18,2023-08-25 18:01:38,1,20,1,56.0,2,96.0,1.0,5516.5,2024-11-04 08:07:34,2
177.19,2023-05-15 17:25:28,1,6,2,76.0,2,43.0,1.0,5343.3,2024-11-04 08:06:30,2
260.88,2023-05-29 16:50:10,1,10,1,22.0,3,36.0,1.0,903.05,2024-11-04 08:06:52,0
169.47,2023-03-22 16:10:14,1,6,2,24.0,3,19.0,1.0,1806.16,2024-11-04 08:07:37,0
73.23,2023-05-19 16:52:53,1,32,1,26.0,3,14.0,1.0,787.74,2024-11-04 08:11:12,0
1362.55,2023-02-10 18:07:07,1,12,0,29.0,1,106.0,1.0,2429.68,2024-11-04 08:11:05,0
792.57,2023-05-22 16:22:36,1,3,0,19.0,3,164.0,1.0,770.37,2024-11-04 08:10:39,0
237.06,2023-12-18 16:47:17,1,31,2,71.0,2,46.0,1.0,1182.77,2024-11-04 08:07:50,2
34.17,2023-11-21 16:57:43,0,30,2,54.0,1,54.0,1.0,726.55,2024-11-04 08:06:29,2
740.25,2023-07-19 17:03:58,1,30,2,41.0,0,123.0,1.0,14464.3,2024-11-04 08:08:27,3
453.54,2023-04-19 16:36:03,1,0,0,58.0,0,82.0,1.0,12046.3,2024-11-04 08:12:06,3
300.47,2023-11-13 16:11:52,1,17,1,73.0,2,100.0,1.0,7885.64,2024-11-04 08:08:00,2
110.93,2023-04-07 16:38:15,0,41,1,19.0,3,201.0,1.0,1952.35,2024-11-04 08:10:53,0
201.69,2023-01-03 16:46:36,1,19,0,59.0,0,299.0,1.0,7328.52,2024-11-04 08:10:16,1
399.21,2023-01-30 16:15:49,1,32,0,59.0,1,109.0,1.0,3210.39,2024-11-04 08:08:21,2
1041.88,2023-09-06 16:44:02,1,17,2,78.0,2,57.0,1.0,5726.2,2024-11-04 08:06:44,2
630.36,2023-03-02 16:11:53,1,23,0,62.0,2,52.0,1.0,1363.65,2024-11-04 08:12:15,2
10.94,2023-10-23 17:24:07,0,30,0,60.0,1,245.0,1.0,1241.99,2024-11-04 08:11:53,1
215.9,2023-01-04 16:02:09,1,20,0,38.0,0,235.0,1.0,7873.28,2024-11-04 08:10:23,1
1422.55,2023-07-10 17:49:18,1,42,1,79.0,2,165.0,1.0,5674.32,2024-11-04 08:06:50,2
226.37,2023-09-18 17:07:08,1,21,1,49.0,0,141.0,1.0,9840.04,2024-11-04 08:09:56,3
444.89,2023-09-11 16:27:39,0,19,1,43.0,0,101.0,1.0,10328.23,2024-11-04 08:11:50,3
280.57,2023-01-27 17:35:05,0,41,2,25.0,3,24.0,1.0,293.24,2024-11-04 08:10:24,0
488.54,2023-07-03 17:47:49,1,17,1,52.0,1,132.0,1.0,7486.63,2024-11-04 08:07:26,3
3.3,2023-03-27 16:42:16,0,20,1,50.0,0,131.0,1.0,11385.37,2024-11-04 08:10:11,3
199.39,2023-08-21 16:16:22,1,7,1,69.0,2,165.0,1.0,7264.79,2024-11-04 08:09:06,2
20.36,2023-07-24 17:02:18,1,40,1,62.0,2,75.0,1.0,2762.48,2024-11-04 08:11:15,2
113.64,2023-10-24 17:09:41,1,11,2,45.0,2,32.0,1.0,6675.03,2024-11-04 08:07:55,3
493.11,2023-07-31 16:25:26,1,7,1,53.0,2,236.0,1.0,7432.99,2024-11-04 08:08:01,1
307.41,2023-06-12 17:32:52,1,20,0,19.0,3,14.0,1.0,1057.0,2024-11-04 08:09:48,0
11.18,2023-11-30 16:52:42,1,1,2,43.0,0,161.0,1.0,5956.89,2024-11-04 08:10:20,1
313.82,2023-11-15 18:57:38,1,40,1,59.0,1,151.0,1.0,7261.59,2024-11-04 08:08:42,2
51.0,2023-01-30 16:00:38,1,39,1,64.0,2,107.0,1.0,4943.16,2024-11-04 08:08:23,2
140.98,2023-05-25 16:34:22,1,22,1,60.0,1,100.0,1.0,8127.48,2024-11-04 08:12:13,2
288.04,2023-08-24 16:47:21,1,10,0,68.0,2,63.0,1.0,1748.02,2024-11-04 08:10:00,2
800.55,2023-05-04 16:21:31,1,28,0,31.0,1,108.0,1.0,9660.22,2024-11-04 08:06:49,3
485.54,2023-02-06 17:46:59,1,15,0,46.0,1,143.0,1.0,6371.51,2024-11-04 08:11:46,1
521.15,2023-02-17 18:16:05,1,18,0,54.0,0,214.0,1.0,9442.47,2024-11-04 08:07:31,1
321.79,2023-08-07 17:30:33,0,33,0,63.0,2,112.0,1.0,5959.2,2024-11-04 08:10:01,2
304.93,2023-02-24 16:23:22,1,32,0,65.0,0,158.0,1.0,13531.22,2024-11-04 08:08:15,3
432.08,2023-07-31 16:04:55,1,12,0,40.0,0,145.0,1.0,11500.62,2024-11-04 08:11:46,3
694.2,2023-12-07 16:20:08,1,25,0,61.0,2,72.0,1.0,1389.37,2024-11-04 08:07:23,2
116.86,2023-03-20 18:28:48,1,21,0,55.0,1,171.0,1.0,6706.56,2024-11-04 08:12:15,1
211.36,2023-03-03 18:02:52,0,11,1,57.0,0,149.0,1.0,7175.29,2024-11-04 08:10:50,2
74.88,2023-05-24 16:25:50,1,1,0,25.0,3,202.0,1.0,420.67,2024-11-04 08:07:46,0
211.36,2023-05-22 16:17:19,1,30,1,75.0,2,99.0,1.0,7323.53,2024-11-04 08:09:48,2
134.7,2023-08-21 16:03:18,1,13,0,50.0,0,106.0,1.0,8395.85,2024-11-04 08:11:07,3
890.24,2023-07-07 18:03:43,0,19,2,33.0,1,161.0,1.0,5140.93,2024-11-04 08:07:32,0
361.27,2023-01-06 17:01:53,1,29,0,63.0,0,180.0,1.0,7945.57,2024-11-04 08:10:07,1
131.56,2023-10-19 16:42:37,1,5,1,44.0,0,42.0,1.0,5873.54,2024-11-04 08:07:12,3
485.51,2023-11-28 16:49:27,0,25,2,76.0,2,37.0,1.0,3074.45,2024-11-04 08:08:02,2
547.87,2023-07-10 17:15:27,1,8,0,64.0,2,131.0,1.0,6155.76,2024-11-04 08:10:31,2
457.3,2023-06-26 18:25:21,1,41,2,28.0,1,15.0,1.0,8318.29,2024-11-04 08:07:53,3
506.24,2023-01-13 16:44:26,1,6,0,58.0,1,64.0,1.0,230.09,2024-11-04 08:11:40,2
486.59,2023-12-19 16:55:17,1,16,1,57.0,2,119.0,1.0,2513.56,2024-11-04 08:10:02,2
163.68,2023-09-28 16:20:57,1,36,1,41.0,0,292.0,1.0,10090.05,2024-11-04 08:11:01,1
581.65,2023-01-09 16:54:58,1,4,0,22.0,3,176.0,1.0,480.19,2024-11-04 08:09:39,0
52.01,2023-11-07 16:46:04,1,23,0,48.0,0,85.0,1.0,1120.88,2024-11-04 08:11:27,2
630.24,2023-11-29 18:10:30,1,4,0,21.0,3,62.0,1.0,370.81,2024-11-04 08:11:52,0
523.74,2023-11-02 16:36:37,1,28,0,43.0,0,159.0,1.0,13498.55,2024-11-04 08:06:52,3
705.6,2023-02-20 18:41:43,1,31,1,40.0,0,124.0,3.0,14804.7,2024-11-04 08:09:04,3
217.5,2023-10-23 18:54:48,0,10,1,46.0,1,35.0,1.0,3057.4,2024-11-04 08:06:58,2
91.48,2023-01-23 16:50:31,1,13,0,51.0,0,141.0,1.0,14942.78,2024-11-04 08:09:17,3
5.25,2023-11-13 18:26:24,1,38,0,39.0,0,49.0,1.0,14143.32,2024-11-04 08:12:22,3
54.03,2023-09-19 17:16:46,0,25,0,56.0,2,161.0,1.0,6736.3,2024-11-04 08:07:36,1
736.73,2023-11-27 16:05:27,1,22,1,48.0,1,10.0,1.0,3313.07,2024-11-04 08:10:54,2
368.91,2023-03-10 17:49:57,1,41,1,54.0,0,14.0,1.0,829.71,2024-11-04 08:10:28,2
33.06,2023-01-17 16:03:41,0,13,2,53.0,2,170.0,1.0,1540.87,2024-11-04 08:06:43,2
66.5,2023-05-04 16:44:56,0,21,2,32.0,1,144.0,1.0,6820.23,2024-11-04 08:08:06,3
177.08,2023-01-06 17:16:44,1,19,1,35.0,0,85.0,1.0,13475.14,2024-11-04 08:12:21,3
588.54,2023-02-06 17:57:28,1,32,1,32.0,1,130.0,1.0,714.45,2024-11-04 08:10:37,0
173.5,2023-10-23 17:16:20,1,26,0,21.0,3,282.0,1.0,1306.91,2024-11-04 08:11:52,1
78.33,2023-07-31 16:13:12,0,22,2,56.0,1,189.0,1.0,7255.33,2024-11-04 08:08:18,1
