Sex,Length,Diameter,Height,WholeWeight,ShuckedWeight,VisceraWeight,ShellWeight,Rings,Cluster,PCA1,PCA2
0,0.615,0.48,0.165,1.1615,0.513,0.301,0.305,10,1,2.0136185441789083,-1.77463611577396
0,0.56,0.44,0.14,0.9285,0.3825,0.188,0.3,11,0,0.7807780728923794,-1.7927420147691169
0,0.58,0.45,0.185,0.9955,0.3945,0.272,0.285,11,0,1.632643098030773,-1.8094934700187082
2,0.59,0.445,0.14,0.931,0.356,0.234,0.28,12,0,0.9336841417661325,1.6388239991862068
2,0.605,0.475,0.18,0.9365,0.394,0.219,0.295,15,0,1.523916598108028,1.6206968788796738
2,0.575,0.425,0.14,0.8635,0.393,0.227,0.2,11,0,0.5536783319360814,1.6470543462985658
2,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,10,0,1.5211656953357549,1.6345060565563867
0,0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,15,1,3.504409101464089,-1.740669889461032
2,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,18,1,2.8889077277835895,1.6771040288429924
0,0.68,0.55,0.175,1.798,0.815,0.3925,0.455,19,1,4.46024889791465,-1.6807020028395327
0,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49,13,1,4.535590519406615,-1.7437903283362877
2,0.465,0.355,0.105,0.4795,0.227,0.124,0.125,8,2,-2.0406293929794455,1.5893859846800076
0,0.54,0.475,0.155,1.217,0.5305,0.3075,0.34,16,1,1.8519795884249193,-1.7592031651317832
0,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145,8,2,-1.9715876783679047,-1.84254938422457
0,0.575,0.445,0.135,0.883,0.381,0.2035,0.26,11,0,0.7089590160581721,-1.791808433934075
2,0.355,0.29,0.09,0.3275,0.134,0.086,0.09,9,2,-3.352065535504849,1.5750591874109494
0,0.45,0.335,0.105,0.425,0.1865,0.091,0.115,9,2,-2.4072547967918703,-1.8590284279716853
0,0.55,0.425,0.135,0.8515,0.362,0.196,0.27,14,0,0.48186318443087345,-1.7961229984346578
1,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02,5,2,-5.431450977125644,-0.14385501946298856
1,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,5,2,-5.653803617925545,-0.14994345449297022
1,0.21,0.15,0.05,0.042,0.0175,0.0125,0.015,4,2,-5.696030575064405,-0.14924986940706386
1,0.39,0.295,0.095,0.203,0.0875,0.045,0.075,7,2,-3.5325636251623247,-0.16692555339546145
2,0.47,0.37,0.12,0.5795,0.293,0.227,0.14,9,0,-0.7997514197315109,1.6292732665335399
0,0.46,0.375,0.12,0.4605,0.1775,0.11,0.15,7,0,-1.4869293895624398,-1.8477800969004312
1,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,6,2,-4.396692271390647,-0.15194034609654128
0,0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245,9,0,0.5836427013703626,-1.8114554500789086
1,0.52,0.41,0.12,0.595,0.2385,0.111,0.19,8,0,-0.814335510700376,-0.11344001466316471
2,0.4,0.32,0.095,0.303,0.1335,0.06,0.1,7,2,-3.1191993050787787,1.5654073916527
2,0.485,0.36,0.13,0.5415,0.2595,0.096,0.16,10,0,-1.2179037240772954,1.6057506894216773
0,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,10,0,-1.4575981258874282,-1.8383293233081814
2,0.405,0.31,0.1,0.385,0.173,0.0915,0.11,7,2,-2.8143041131704325,1.5783635973216155
0,0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22,8,0,-0.31643642518255904,-1.8309147777207992
2,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135,8,2,-2.1666168105432813,1.5694433608066525
2,0.47,0.385,0.135,0.5895,0.2765,0.12,0.17,8,0,-0.9334785380697395,1.6089544172038712
1,0.245,0.19,0.06,0.086,0.042,0.014,0.025,4,2,-5.207846251568009,-0.1514039879421564
0,0.505,0.4,0.125,0.583,0.246,0.13,0.175,7,0,-0.814317913688268,-1.8307092616100342
2,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7,2,-2.2882683324622035,1.5752072615721933
2,0.505,0.405,0.11,0.625,0.305,0.16,0.175,9,0,-0.7106053854554627,1.6320473809597746
0,0.53,0.41,0.13,0.6965,0.302,0.1935,0.2,10,0,-0.14170343429244298,-1.8127013383632935
2,0.425,0.325,0.095,0.3785,0.1705,0.08,0.1,7,2,-2.809733205057401,1.578030947227422
2,0.52,0.4,0.12,0.58,0.234,0.1315,0.185,8,0,-0.8332355400009318,1.6049322415826166
2,0.475,0.355,0.12,0.48,0.234,0.1015,0.135,8,0,-1.5106220836802586,1.6038502934182914
0,0.565,0.44,0.16,0.915,0.354,0.1935,0.32,12,0,0.9902032552315027,-1.8121631535385536
0,0.595,0.495,0.185,1.285,0.416,0.224,0.485,13,1,2.3492613112185876,-1.8112204798187017
0,0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17,10,0,-1.1724356955608255,-1.8372526114945045
1,0.31,0.235,0.07,0.151,0.063,0.0405,0.045,6,2,-4.464734281995842,-0.15330294983852666
2,0.555,0.425,0.13,0.7665,0.264,0.168,0.275,13,0,0.08217686894862905,1.6133569935689815
0,0.4,0.32,0.11,0.353,0.1405,0.0985,0.1,8,2,-2.7540702930263583,-1.8732808493302755
0,0.595,0.475,0.17,1.247,0.48,0.225,0.425,20,1,2.0478911727221267,-1.7863388719395632
2,0.57,0.48,0.175,1.185,0.474,0.261,0.38,11,1,1.9316040137314687,1.6454422039857164
0,0.605,0.45,0.195,1.098,0.481,0.2895,0.315,13,1,1.9971145825469512,-1.8012626303627872
0,0.6,0.475,0.15,1.0075,0.4425,0.221,0.28,15,0,1.3881810379586705,-1.7821677426703046
2,0.595,0.475,0.14,0.944,0.3625,0.189,0.315,9,0,1.0323388007741474,1.6353934825152685
0,0.6,0.47,0.15,0.922,0.363,0.194,0.305,10,0,1.1252071808488522,-1.806985132849673
0,0.555,0.425,0.14,0.788,0.282,0.1595,0.285,11,0,0.254702862131767,-1.823981312836
0,0.615,0.475,0.17,1.1025,0.4695,0.2355,0.345,14,1,1.7836106071098619,-1.7948874588794657
0,0.575,0.445,0.14,0.941,0.3845,0.252,0.285,9,0,1.058831076174509,-1.7885223559738477
2,0.62,0.51,0.175,1.615,0.5105,0.192,0.675,12,1,3.2492305825971477,1.6636498293116586
0,0.52,0.425,0.165,0.9885,0.396,0.225,0.32,16,0,1.0727681788361352,-1.797025868162338
2,0.595,0.475,0.16,1.3175,0.408,0.234,0.58,21,1,2.3327980676843256,1.6405756974416041
2,0.58,0.45,0.14,1.013,0.38,0.216,0.36,14,0,1.1967107473887848,1.6465134738932503
0,0.57,0.465,0.18,1.295,0.339,0.2225,0.44,12,1,1.830841945743292,-1.8228906012455182
2,0.625,0.465,0.14,1.195,0.4825,0.205,0.4,13,1,1.6222224564003276,1.6647301595633384
2,0.56,0.44,0.16,0.8645,0.3305,0.2075,0.26,10,0,0.7311441637661604,1.6175487987393948
0,0.46,0.355,0.13,0.517,0.2205,0.114,0.165,9,0,-1.2979332397460024,-1.8388967668580722
0,0.575,0.45,0.16,0.9775,0.3135,0.231,0.33,12,0,1.2120004066615493,-1.8179567809997967
2,0.565,0.425,0.135,0.8115,0.341,0.1675,0.255,15,0,0.27751883898328406,1.6310876194312423
2,0.555,0.44,0.15,0.755,0.307,0.1525,0.26,12,0,0.2886994140075597,1.609410420755762
2,0.595,0.465,0.175,1.115,0.4015,0.254,0.39,13,1,1.7685294067871535,1.624485262292672
0,0.625,0.495,0.165,1.262,0.507,0.318,0.39,10,1,2.4907386223256682,-1.772687847432567
2,0.695,0.56,0.19,1.494,0.588,0.3425,0.485,15,1,3.8876203036423163,1.6725513564224217
2,0.665,0.535,0.195,1.606,0.5755,0.388,0.48,14,1,3.9514699295538347,1.677578836495035
2,0.535,0.435,0.15,0.725,0.269,0.1385,0.25,9,0,0.026035198427500766,1.599035376822372
2,0.47,0.375,0.13,0.523,0.214,0.132,0.145,8,0,-1.2153409940706712,1.5953892034191013
2,0.47,0.37,0.13,0.5225,0.201,0.133,0.165,7,0,-1.1984823927680537,1.592464738536103
0,0.475,0.375,0.125,0.5785,0.2775,0.085,0.155,10,0,-1.1898288183456152,-1.8228702373826762
1,0.36,0.265,0.095,0.2315,0.105,0.046,0.075,7,2,-3.6992617008319835,-0.15796626683820764
2,0.55,0.435,0.145,0.843,0.328,0.1915,0.255,15,0,0.4477070462158478,1.6245917763866806
2,0.53,0.435,0.16,0.883,0.316,0.164,0.335,15,0,0.6538781614316611,1.6128050257928275
2,0.53,0.415,0.14,0.724,0.3105,0.1675,0.205,10,0,-0.11117574939497848,1.6189321524438216
2,0.605,0.47,0.16,1.1735,0.4975,0.2405,0.345,12,1,1.7330013022604254,1.658391470861378
0,0.52,0.41,0.155,0.727,0.291,0.1835,0.235,12,0,0.11567228490746,-1.829387157228313
0,0.545,0.43,0.165,0.802,0.2935,0.183,0.28,11,0,0.5673085511804566,-1.8339788034049012
0,0.5,0.4,0.125,0.6675,0.261,0.1315,0.22,10,0,-0.5980594042443241,-1.8232858127839466
0,0.51,0.39,0.135,0.6335,0.231,0.179,0.2,9,0,-0.4821226401609144,-1.8345344073574432
0,0.435,0.395,0.105,0.3635,0.136,0.098,0.13,9,2,-2.2845899992213283,-1.8783322251232268
2,0.495,0.395,0.125,0.5415,0.2375,0.1345,0.155,9,0,-0.9961766007097477,1.6026204837126694
2,0.465,0.36,0.105,0.431,0.172,0.107,0.175,9,2,-2.078323128136508,1.5717941460535039
1,0.435,0.32,0.08,0.3325,0.1485,0.0635,0.105,9,2,-3.0358735953096185,-0.1396402274623286
2,0.425,0.35,0.105,0.393,0.13,0.063,0.165,9,2,-2.5540036628152247,1.5592679895457342
0,0.545,0.41,0.125,0.6935,0.2975,0.146,0.21,11,0,-0.291492375301144,-1.8143597806419147
0,0.53,0.415,0.115,0.5915,0.233,0.1585,0.18,11,0,-0.6529251057291672,-1.8278280235928797
0,0.49,0.375,0.135,0.6125,0.2555,0.102,0.22,11,0,-0.8113328113397515,-1.8326178501856687
2,0.44,0.34,0.105,0.402,0.1305,0.0955,0.165,10,2,-2.4161281853834065,1.5621238233875794
0,0.56,0.43,0.15,0.8825,0.3465,0.172,0.31,9,0,0.6945774980220687,-1.8098359363933205
2,0.405,0.305,0.085,0.2605,0.1145,0.0595,0.085,8,2,-3.367655153834085,1.5658875066722715
0,0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,9,2,-2.1435157811361822,-1.8674621732969454
1,0.385,0.295,0.085,0.2535,0.103,0.0575,0.085,7,2,-3.492988696978486,-0.15405291734396104
0,0.515,0.425,0.14,0.766,0.304,0.1725,0.255,14,0,0.10097563094181485,-1.817427961311287
2,0.37,0.265,0.075,0.214,0.09,0.051,0.07,6,2,-3.8980992916061243,1.5675577253876938
1,0.36,0.28,0.08,0.1755,0.081,0.0505,0.07,6,2,-3.8584921613689604,-0.15845985425205236
1,0.27,0.195,0.06,0.073,0.0285,0.0235,0.03,5,2,-5.087989358712506,-0.15591962646471172
1,0.375,0.275,0.09,0.238,0.1075,0.0545,0.07,6,2,-3.624412165959342,-0.15477619041031587
1,0.385,0.29,0.085,0.2505,0.112,0.061,0.08,8,2,-3.501466148597889,-0.15135074137444524
2,0.7,0.535,0.16,1.7255,0.63,0.2635,0.54,19,1,3.6740394437594017,1.7080995120307336
2,0.71,0.54,0.165,1.959,0.7665,0.261,0.78,18,1,4.897376877212066,1.7459390781243342
2,0.595,0.48,0.165,1.262,0.4835,0.283,0.41,17,1,2.1774039237997256,1.6575971367544087
0,0.44,0.35,0.125,0.4035,0.175,0.063,0.129,9,2,-2.3037168750528347,-1.877416828629899
0,0.325,0.26,0.09,0.1915,0.085,0.036,0.062,7,2,-4.009309896246423,-1.8788813174101169
1,0.35,0.26,0.095,0.211,0.086,0.056,0.068,7,2,-3.788755196546314,-0.16217838104254453
1,0.265,0.2,0.065,0.0975,0.04,0.0205,0.028,7,2,-5.0155700919500825,-0.15533748436293582
0,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355,8,2,-2.4595148183156943,-1.8711051308461149
0,0.305,0.23,0.08,0.156,0.0675,0.0345,0.048,7,2,-4.3969517933172915,-1.875829910432275
2,0.345,0.255,0.09,0.2005,0.094,0.0295,0.063,9,2,-3.994985767255602,1.5593342640718888
0,0.405,0.325,0.11,0.3555,0.151,0.063,0.117,9,2,-2.7770561641774005,-1.8734699199415519
2,0.375,0.285,0.095,0.253,0.096,0.0575,0.0925,9,2,-3.4890343619866218,1.5574223471515218
0,0.565,0.445,0.155,0.826,0.341,0.2055,0.2475,10,0,0.7034955765137048,-1.8155120884899636
0,0.55,0.45,0.145,0.741,0.295,0.1435,0.2665,10,0,0.2567418458533,-1.828660748259611
2,0.65,0.52,0.19,1.3445,0.519,0.306,0.4465,16,1,3.0742307553457184,1.6514776043264612
2,0.56,0.455,0.155,0.797,0.34,0.19,0.2425,11,0,0.5941714392277462,1.6175208649492725
2,0.475,0.375,0.13,0.5175,0.2075,0.1165,0.17,10,0,-1.1996500732557758,1.5922117049844124
0,0.49,0.38,0.125,0.549,0.245,0.1075,0.174,10,0,-1.0639491846258502,-1.8318553537042759
2,0.46,0.35,0.12,0.515,0.224,0.108,0.1565,10,0,-1.4849948577324636,1.6041014861589724
1,0.28,0.205,0.08,0.127,0.052,0.039,0.042,9,2,-4.656155599068442,-0.1597914126645656
1,0.175,0.13,0.055,0.0315,0.0105,0.0065,0.0125,5,2,-5.904089729342309,-0.1520972524417975
1,0.17,0.13,0.095,0.03,0.013,0.008,0.01,4,2,-5.5651531847594535,-0.1749799985060475
2,0.59,0.475,0.145,1.053,0.4415,0.262,0.325,15,0,1.590904302432386,1.6611742986887217
0,0.605,0.5,0.185,1.1185,0.469,0.2585,0.335,9,1,2.053939048518735,-1.8033636930467012
0,0.635,0.515,0.19,1.3715,0.5065,0.305,0.45,10,1,3.045077595976337,-1.7857044952855303
0,0.605,0.485,0.16,1.0565,0.37,0.2355,0.355,10,0,1.715234332766893,-1.804199556086304
0,0.565,0.45,0.135,0.9885,0.387,0.1495,0.31,12,0,0.740526286146394,-1.789185944204942
2,0.515,0.405,0.13,0.722,0.32,0.131,0.21,10,0,-0.3965542874728797,1.626071692938026
0,0.575,0.46,0.19,0.994,0.392,0.2425,0.34,13,1,1.5433012313831802,-1.8278243754058414
2,0.645,0.485,0.215,1.514,0.546,0.2615,0.635,16,1,3.704962221874967,1.6496030487119628
0,0.58,0.455,0.17,0.9075,0.374,0.2135,0.285,13,0,1.194165677848363,-1.813677474539732
0,0.575,0.46,0.165,1.124,0.2985,0.1785,0.44,13,0,1.5176251837731005,-1.8226731712214057
2,0.605,0.465,0.165,1.056,0.4215,0.2475,0.34,13,1,1.5323456412913674,1.6322854360059655
0,0.605,0.485,0.16,1.222,0.53,0.2575,0.28,13,1,1.805371747502329,-1.7671080217051116
2,0.61,0.485,0.175,1.2445,0.544,0.297,0.345,12,1,2.2960932151776876,1.666184141166096
0,0.725,0.56,0.21,2.141,0.65,0.398,1.005,18,1,6.561278294791768,-1.7327006104932168
0,0.65,0.545,0.23,1.752,0.5605,0.2895,0.815,16,1,4.986212602587199,-1.785825557192999
2,0.725,0.57,0.19,2.55,1.0705,0.483,0.725,14,1,6.9965637351717405,1.8439860804913966
0,0.725,0.575,0.175,2.124,0.765,0.4515,0.85,20,1,6.255969736632648,-1.68128971154007
0,0.68,0.57,0.205,1.842,0.625,0.408,0.65,20,1,5.122431641079967,-1.7451581674414087
2,0.705,0.56,0.22,1.981,0.8175,0.3085,0.76,14,1,5.677566554861727,1.7283700087854723
0,0.68,0.515,0.175,1.6185,0.5125,0.409,0.62,12,1,4.156461757717136,-1.7605099427423536
2,0.695,0.55,0.215,1.9565,0.7125,0.541,0.59,14,1,5.714037988334253,1.7215294824763752
0,0.53,0.395,0.145,0.775,0.308,0.169,0.255,7,0,0.07453566709008444,-1.8172231132873915
2,0.525,0.435,0.155,1.065,0.486,0.233,0.285,8,0,1.161499576399642,1.6704381613055972
0,0.52,0.405,0.115,0.776,0.32,0.1845,0.22,8,0,-0.20544664542289431,-1.7957194283502746
1,0.235,0.16,0.04,0.048,0.0185,0.018,0.015,5,2,-5.631186351708385,-0.1440139740410046
1,0.36,0.26,0.09,0.1785,0.0645,0.037,0.075,7,2,-3.9147918748337878,-0.1674821376562987
1,0.315,0.21,0.06,0.125,0.06,0.0375,0.035,5,2,-4.706539346760397,-0.1475564684139721
1,0.315,0.245,0.085,0.1435,0.053,0.0475,0.05,8,2,-4.257722016838467,-0.16555167829771472
1,0.225,0.16,0.045,0.0465,0.025,0.015,0.015,4,2,-5.621537925140384,-0.1453559416259473
2,0.58,0.475,0.15,0.97,0.385,0.2165,0.35,11,0,1.3342341132599078,1.6378743801189972
2,0.57,0.48,0.18,0.9395,0.399,0.2,0.295,14,0,1.3669879499274944,1.6215439397428186
2,0.64,0.51,0.175,1.368,0.515,0.266,0.57,21,1,3.087230056094867,1.657900256721575
0,0.56,0.45,0.16,1.0235,0.429,0.268,0.3,10,0,1.4571872589492574,-1.7848100545181718
0,0.62,0.475,0.175,1.0165,0.4355,0.214,0.325,10,1,1.5746399763721637,-1.8114069555774288
0,0.645,0.51,0.2,1.5675,0.621,0.367,0.46,12,1,3.77506238043044,-1.750825824481656
2,0.62,0.49,0.19,1.218,0.5455,0.2965,0.355,13,1,2.4910185801070552,1.6555681078065692
0,0.63,0.48,0.15,1.0525,0.392,0.336,0.285,12,1,1.6934332953974125,-1.7984083346552644
0,0.63,0.5,0.185,1.383,0.54,0.3315,0.38,10,1,2.88770396607741,-1.7703933001011136
0,0.63,0.48,0.16,1.199,0.5265,0.335,0.315,11,1,2.2301438795956097,-1.765133361601878
0,0.585,0.46,0.17,0.9325,0.365,0.271,0.29,9,0,1.4626001667020092,-1.811833441970468
2,0.615,0.48,0.18,1.1595,0.4845,0.2165,0.325,13,1,1.8044092449482287,1.6404147280708758
2,0.61,0.485,0.17,1.0225,0.419,0.2405,0.36,12,1,1.675303589644495,1.6247298924830538
2,0.58,0.45,0.15,0.927,0.276,0.1815,0.36,14,0,0.898845306293008,1.609234269705934
1,0.355,0.275,0.085,0.22,0.092,0.06,0.15,8,2,-3.529176145382931,-0.15636934528385354
0,0.51,0.4,0.14,0.8145,0.459,0.1965,0.195,10,0,0.21605480838329244,-1.7733292934996676
2,0.5,0.405,0.155,0.772,0.346,0.1535,0.245,12,0,0.04635541346201825,1.6213677099680979
0,0.505,0.41,0.15,0.644,0.285,0.145,0.21,11,0,-0.2740332576497851,-1.8334338780277317
2,0.64,0.5,0.185,1.3035,0.4445,0.2635,0.465,16,1,2.641767939331454,1.6336027934584416
2,0.56,0.45,0.16,0.922,0.432,0.178,0.26,15,0,0.8949098458120395,1.6423139154520205
2,0.585,0.46,0.185,0.922,0.3635,0.213,0.285,10,0,1.3202920928735544,1.6112019942805487
0,0.45,0.345,0.12,0.4165,0.1655,0.095,0.135,9,2,-2.2057300710639303,-1.8741820192586989
2,0.5,0.4,0.165,0.825,0.254,0.205,0.285,13,0,0.29810185448745763,1.5987429903680341
0,0.5,0.4,0.145,0.63,0.234,0.1465,0.23,12,0,-0.41702421989868027,-1.8426680595745326
0,0.53,0.435,0.17,0.8155,0.2985,0.155,0.275,13,0,0.48410789802785004,-1.8366629963687613
2,0.42,0.335,0.115,0.369,0.171,0.071,0.12,8,2,-2.5909116307706306,1.5644484361847018
0,0.44,0.34,0.14,0.482,0.186,0.1085,0.16,9,0,-1.465472200341381,-1.8533231145890754
1,0.4,0.3,0.11,0.315,0.109,0.067,0.12,9,2,-3.0014421320640055,-0.16511455894510343
1,0.435,0.34,0.11,0.3795,0.1495,0.085,0.12,8,2,-2.523914404676036,-0.1554016284425787
0,0.525,0.415,0.17,0.8325,0.2755,0.1685,0.31,13,0,0.5080194912751503,-1.8392327442713576
1,0.37,0.28,0.095,0.2655,0.122,0.052,0.08,7,2,-3.5076620619492704,-0.15342265856632387
0,0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22,10,0,-0.6236426502901684,-1.8466339945565808
2,0.335,0.25,0.09,0.181,0.0755,0.0415,0.06,7,2,-4.063857488158529,1.5553676481196699
0,0.415,0.325,0.105,0.38,0.1595,0.0785,0.12,12,2,-2.685720886115514,-1.866681817608142
2,0.5,0.405,0.14,0.6155,0.241,0.1355,0.205,9,0,-0.5886974321326277,1.5966935529313442
0,0.485,0.395,0.16,0.66,0.2475,0.128,0.235,14,0,-0.3599183428745506,-1.8471595728345673
2,0.55,0.405,0.14,0.8025,0.244,0.1635,0.255,10,0,-0.008566082945942006,1.6060147720042033
2,0.45,0.35,0.13,0.46,0.174,0.111,0.135,8,2,-2.0216227794861936,1.5607771810343145
1,0.405,0.3,0.12,0.324,0.1265,0.07,0.11,7,2,-2.8745174116808516,-0.1662267376510447
2,0.47,0.36,0.135,0.501,0.1665,0.115,0.165,10,0,-1.341820438148412,1.5798516170493908
0,0.415,0.305,0.13,0.32,0.1305,0.0755,0.105,8,2,-2.7036383503459764,-1.8897791932816945
0,0.445,0.325,0.125,0.455,0.1785,0.1125,0.14,9,2,-2.126339199755746,-1.869404803662393
0,0.47,0.35,0.145,0.5175,0.187,0.1235,0.18,11,0,-1.133300724191935,-1.8553525620071571
0,0.49,0.375,0.15,0.5755,0.22,0.144,0.19,9,0,-0.7053684329089626,-1.8490346966271933
0,0.445,0.355,0.15,0.485,0.181,0.125,0.155,11,0,-1.2581613566733811,-1.8606277081177653
1,0.425,0.38,0.105,0.3265,0.1285,0.0785,0.1,10,2,-2.6012486927194667,-0.16316129182670872
0,0.5,0.37,0.135,0.45,0.1715,0.1055,0.155,9,0,-1.2602365023749706,-1.8597116572872767
0,0.39,0.29,0.125,0.3055,0.121,0.082,0.09,7,2,-2.943519806619314,-1.8873199341759361
1,0.365,0.27,0.085,0.205,0.078,0.0485,0.07,7,2,-3.8263223139249374,-0.16019903124805324
0,0.58,0.465,0.165,1.1015,0.404,0.2095,0.35,11,0,1.5809513803141997,-1.795927197994621
0,0.53,0.415,0.16,0.783,0.2935,0.158,0.245,15,0,0.20128649329578255,-1.8313946233186433
2,0.555,0.445,0.135,0.836,0.336,0.1625,0.275,13,0,0.3767950555042444,1.6292168469659447
2,0.565,0.44,0.175,0.9025,0.31,0.193,0.325,14,0,1.0100755715749992,1.6038086544809764
2,0.625,0.505,0.215,1.4455,0.496,0.287,0.435,22,1,3.0893834037798986,1.6368612157825926
1,0.275,0.215,0.075,0.1155,0.0485,0.029,0.035,7,2,-4.749176406735981,-0.15940900795160282
1,0.44,0.35,0.135,0.435,0.1815,0.083,0.125,12,2,-2.132790177656198,-0.16092584294208137
1,0.295,0.225,0.08,0.124,0.0485,0.032,0.04,9,2,-4.562942055944167,-0.16323170255281885
1,0.075,0.055,0.01,0.002,0.001,0.0005,0.0015,1,2,-7.048272160981093,-0.12042262662241061
1,0.13,0.1,0.03,0.013,0.0045,0.003,0.004,3,2,-6.46626605984165,-0.13601085899837512
1,0.11,0.09,0.03,0.008,0.0025,0.002,0.003,3,2,-6.589971111222978,-0.13538890676687468
1,0.16,0.12,0.035,0.021,0.0075,0.0045,0.005,5,2,-6.21680758790762,-0.1402773671772977
2,0.565,0.425,0.16,0.9425,0.3495,0.2185,0.275,17,0,0.8698503066475457,1.6274332378610548
1,0.27,0.2,0.07,0.1,0.034,0.0245,0.035,5,2,-4.928056212089982,-0.15961473749992502
1,0.23,0.175,0.065,0.0645,0.026,0.0105,0.02,5,2,-5.350648331486079,-0.15777207227200066
1,0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04,8,2,-4.551582010476289,-0.16515415034498793
1,0.33,0.255,0.085,0.1655,0.063,0.039,0.06,8,2,-4.131356372484827,-0.1639405177937907
1,0.35,0.26,0.085,0.174,0.0705,0.0345,0.06,10,2,-4.038540985683414,-0.1629780326695014
1,0.32,0.245,0.08,0.1585,0.0635,0.0325,0.05,13,2,-4.308657651727108,-0.16037490391833983
1,0.36,0.275,0.085,0.1975,0.0745,0.0415,0.07,9,2,-3.861092461355547,-0.16207863024113797
1,0.305,0.245,0.075,0.156,0.0675,0.038,0.045,7,2,-4.393109563497021,-0.15574187686291496
1,0.345,0.27,0.11,0.2135,0.082,0.0545,0.07,7,2,-3.63648808337175,-0.17267741128192682
1,0.33,0.25,0.105,0.1715,0.0655,0.035,0.06,7,2,-3.9799360051811323,-0.1747246360141569
2,0.59,0.47,0.18,1.1235,0.4205,0.2805,0.36,13,1,1.86884136334076,1.6281815629878935
0,0.595,0.455,0.155,1.0605,0.5135,0.2165,0.3,12,0,1.5464208223359892,-1.764122897702539
0,0.575,0.46,0.185,1.094,0.4485,0.217,0.345,15,1,1.605456401289003,-1.807979557156975
2,0.6,0.495,0.165,1.2415,0.485,0.2775,0.34,15,1,2.0198485179335957,1.6560468101558754
2,0.56,0.45,0.175,1.011,0.3835,0.2065,0.37,15,0,1.4371909294132192,1.6264598940142672
